,subdomain,IPv4,IPv6
0,wm.sjtu.edu.cn.,111.186.57.249,2001:da8:8000:1:0:305:2:48
1,iac.sjtu.edu.cn.,111.186.58.66,2001:da8:8000:1:0:384:2:48
2,math.sjtu.edu.cn.,111.186.59.124,2001:da8:8000:1:0:395:2:48
3,sensor.sjtu.edu.cn.,202.120.37.216,2001:da8:8000:1:0:1150:2:48
4,p2p.sjtu.edu.cn.,202.120.2.1,2001:da8:8000:1:0:482:2:48
5,quantum.sjtu.edu.cn.,202.120.63.153,2001:da8:8000:1:0:1540:2:48
6,history.sjtu.edu.cn.,202.120.35.173,2001:da8:8000:1:0:573:2:48
7,jin.sjtu.edu.cn.,202.120.48.243,2001:da8:8000:1:0:1263:2:48
8,oc.sjtu.edu.cn.,202.120.35.235,2001:da8:8000:6fc0:102:1006:2:48
9,collect.sjtu.edu.cn.,202.120.35.180,2001:da8:8000:1:0:1667:2:48
10,ep.sjtu.edu.cn.,202.120.1.3,2001:da8:8000:1:0:454:2:48
11,development.sjtu.edu.cn.,202.120.45.116,2001:da8:8000:1:0:1239:2:48
12,zy.sjtu.edu.cn.,202.120.35.199,2001:da8:8000:1:0:999:2:48
13,ist.sjtu.edu.cn.,202.120.63.153,2001:da8:8000:1:0:1481:2:48
14,training.sjtu.edu.cn.,202.120.35.201,2001:da8:8000:1:0:1055:2:48
15,sa.sjtu.edu.cn.,202.120.35.195,2001:da8:8000:6fc0:102:1002:2:48
16,visit.sjtu.edu.cn.,111.186.57.141,2001:da8:8000:1:0:279:2:48
17,vision.sjtu.edu.cn.,202.120.35.199,2001:da8:8000:1:0:1003:2:48
18,sports.sjtu.edu.cn.,202.120.35.186,2001:da8:8000:1:0:807:2:48
19,bbs.sjtu.edu.cn.,202.120.58.161,2001:da8:8000:6003::161
20,robotics.sjtu.edu.cn.,202.120.63.151,2001:da8:8000:1:0:1339:2:48
21,systems.sjtu.edu.cn.,202.120.41.69,2001:da8:8000:1:0:1209:2:48
22,message.sjtu.edu.cn.,202.120.35.180,2001:da8:8000:6fc0:102:1009:2:48
23,ant.sjtu.edu.cn.,202.120.36.224,2001:da8:8000:1:0:1144:2:48
24,ins.sjtu.edu.cn.,202.120.35.191,2001:da8:8000:1:0:879:2:48
25,si.sjtu.edu.cn.,202.121.181.108,2001:da8:8000:1:0:1626:2:48
26,min.sjtu.edu.cn.,202.120.35.173,2001:da8:8000:1:0:1364:2:48
27,zoom.sjtu.edu.cn.,202.120.35.193,2001:da8:8000:6fc0:102:1018:2:48
28,join.sjtu.edu.cn.,202.120.35.201,2001:da8:8000:1:0:1098:2:48
29,apply.sjtu.edu.cn.,202.120.35.170,2001:da8:8000:1:0:562:2:48
30,ee.sjtu.edu.cn.,202.120.35.199,2001:da8:8000:1:0:933:2:48
31,v.sjtu.edu.cn.,202.120.35.241,2001:da8:8000:6fc0:102:1030:2:48
32,bat.sjtu.edu.cn.,202.120.63.153,2001:da8:8000:1:0:1598:2:48
33,magic.sjtu.edu.cn.,202.120.35.199,2001:da8:8000:1:0:995:2:48
34,developer.sjtu.edu.cn.,202.120.35.195,2001:da8:8000:1:0:299:2:48
35,isc.sjtu.edu.cn.,202.120.35.201,2001:da8:8000:1:0:1663:2:48
36,archives.sjtu.edu.cn.,202.120.35.187,2001:da8:8000:6fc0:102:1224:2:48
37,ua.sjtu.edu.cn.,202.120.35.173,2001:da8:8000:1:0:747:2:48
38,al.sjtu.edu.cn.,202.120.35.173,2001:da8:8000:1:0:682:2:48
39,app.sjtu.edu.cn.,202.112.28.7,2001:da8:8003:ff::7
40,apple.sjtu.edu.cn.,202.112.26.43,2001:da8:8000:6180:150:112:26:43
41,ids.sjtu.edu.cn.,202.120.43.106,2001:da8:8000:1:0:1218:2:48
42,pec.sjtu.edu.cn.,202.120.35.224,2001:da8:8000:1:0:203:2:48
43,cms.sjtu.edu.cn.,202.120.35.173,2001:da8:8000:1:0:1580:2:48
44,trans.sjtu.edu.cn.,202.120.61.79,2001:da8:8000:1:0:1321:2:48
45,sun.sjtu.edu.cn.,202.120.50.140,2001:da8:8000:1:0:1270:2:48
46,applications.sjtu.edu.cn.,202.120.1.38,2001:da8:8000:1:0:458:2:48
47,lac.sjtu.edu.cn.,202.120.35.241,2001:da8:8000:1:0:1111:2:48
48,smt.sjtu.edu.cn.,202.120.39.202,2001:da8:8000:1:0:1196:2:48
49,antivirus.sjtu.edu.cn.,202.120.35.186,2001:da8:8000:1:0:802:2:48
50,cse.sjtu.edu.cn.,202.120.2.1,2001:da8:8000:1:0:485:2:48
51,sport.sjtu.edu.cn.,202.120.35.173,2001:da8:8000:1:0:652:2:48
52,mic.sjtu.edu.cn.,202.120.6.242,2001:da8:8000:1:0:1306:2:48
53,win7.sjtu.edu.cn.,202.120.35.191,2001:da8:8000:6fc0:102:1015:2:48
54,lc.sjtu.edu.cn.,202.120.63.153,2001:da8:8000:1:0:1560:2:48
55,plan.sjtu.edu.cn.,202.120.35.187,2001:da8:8000:6fc0:102:1204:2:48
56,pd.sjtu.edu.cn.,202.120.35.173,2001:da8:8000:1:0:610:2:48
57,jwc.sjtu.edu.cn.,202.120.35.187,2001:da8:8000:1:0:823:2:48
58,gk1.sjtu.edu.cn.,202.120.63.153,2001:da8:8000:1:0:1416:2:48
59,ship.sjtu.edu.cn.,202.120.35.173,2001:da8:8000:1:0:1508:2:48
60,plus.sjtu.edu.cn.,202.120.35.195,2001:da8:8000:1:0:898:2:48
61,che.sjtu.edu.cn.,202.120.35.173,2001:da8:8000:1:0:596:2:48
62,na.sjtu.edu.cn.,111.186.59.70,2001:da8:8000:1:0:435:2:48
63,oe.sjtu.edu.cn.,202.120.35.173,2001:da8:8000:1:0:1358:2:48
64,admissions.sjtu.edu.cn.,202.120.35.199,2001:da8:8000:6fc0:102:1080:2:48
65,vs.sjtu.edu.cn.,111.186.56.250,2001:da8:8000:1:0:235:2:48
66,ce.sjtu.edu.cn.,202.120.35.201,2001:da8:8000:1:0:1056:2:48
67,old.sjtu.edu.cn.,202.120.2.112,2001:da8:8000:1:0:496:2:48
68,vr.sjtu.edu.cn.,202.120.35.173,2001:da8:8000:1:0:740:2:48
69,dd.sjtu.edu.cn.,202.120.35.187,2001:da8:8000:1:0:836:2:48
70,smc.sjtu.edu.cn.,111.186.59.21,2001:da8:8000:1:0:426:2:48
71,gh.sjtu.edu.cn.,111.186.57.88,2001:da8:8000:1:0:321:2:48
72,scs.sjtu.edu.cn.,202.120.35.199,2001:da8:8000:1:0:1001:2:48
73,dm.sjtu.edu.cn.,202.120.35.199,2001:da8:8000:1:0:1005:2:48
74,computing.sjtu.edu.cn.,202.120.35.195,2001:da8:8000:1:0:1657:2:48
75,dns.sjtu.edu.cn.,202.120.2.90,2001:da8:8000:1:202:120:2:90
76,csc.sjtu.edu.cn.,202.120.38.42,2001:da8:8000:1:0:1177:2:48
77,ma.sjtu.edu.cn.,111.186.56.128,2001:da8:8000:1:0:212:2:48
78,ji.sjtu.edu.cn.,111.186.58.65,2001:da8:8000:1:0:379:2:48
79,vis.sjtu.edu.cn.,202.120.38.18,2001:da8:8000:1:0:1167:2:48
80,etc.sjtu.edu.cn.,202.120.35.241,2001:da8:8000:1:0:1114:2:48
81,survey.sjtu.edu.cn.,202.120.63.231,2001:da8:8000:1:0:1610:2:48
82,sma.sjtu.edu.cn.,202.120.63.153,2001:da8:8000:1:0:1425:2:48
83,print.sjtu.edu.cn.,202.120.35.178,2001:da8:8000:1:0:796:2:48
84,cit.sjtu.edu.cn.,202.120.38.3,2001:da8:8000:1:0:1173:2:48
85,base.sjtu.edu.cn.,202.120.40.28,2001:da8:8000:1:0:1206:2:48
86,ipv6.sjtu.edu.cn.,202.120.2.47,2001:da8:8000:1::80
87,mmm.sjtu.edu.cn.,202.120.63.153,2001:da8:8000:1:0:1562:2:48
88,music.sjtu.edu.cn.,202.120.58.171,2001:da8:8000:6003:202:120:58:171
89,notice.sjtu.edu.cn.,202.120.35.195,2001:da8:8000:1:0:899:2:48
90,wsus.sjtu.edu.cn.,111.186.56.50,2001:da8:8000:7100::341:d
91,ast.sjtu.edu.cn.,111.186.58.35,2001:da8:8000:1:0:367:2:48
92,vista.sjtu.edu.cn.,202.120.35.191,2001:da8:8000:6fc0:102:1015:2:48
93,sar.sjtu.edu.cn.,202.120.35.199,2001:da8:8000:1:0:929:2:48
94,ssh.sjtu.edu.cn.,202.120.1.13,2001:da8:8000:1:0:445:2:48
95,cnc.sjtu.edu.cn.,202.120.63.153,2001:da8:8000:1:0:1509:2:48
96,www.sjtu.edu.cn.,202.120.2.119,2001:da8:8000:1::2:119
97,vi.sjtu.edu.cn.,202.120.35.173,2001:da8:8000:1:0:1366:2:48
98,youth.sjtu.edu.cn.,202.120.35.173,2001:da8:8000:1:0:744:2:48
99,en.sjtu.edu.cn.,202.120.2.113,2001:da8:8000:6fc0:102:1070:2:48
100,fz.sjtu.edu.cn.,202.120.63.151,2001:da8:8000:1:0:1378:2:48
101,elearning.sjtu.edu.cn.,202.120.35.191,2001:da8:8000:1:0:868:2:48
102,hr.sjtu.edu.cn.,202.120.35.201,2001:da8:8000:1:0:1053:2:48
103,application.sjtu.edu.cn.,202.120.35.140,2001:da8:8000:1:0:521:2:48
104,news.sjtu.edu.cn.,202.120.2.112,2001:da8:8000:1::2:112
105,hpc.sjtu.edu.cn.,202.120.35.195,2001:da8:8000:1:0:892:2:48
106,bus.sjtu.edu.cn.,202.120.35.195,2001:da8:8000:6fc0:102:1040:2:48
107,media.sjtu.edu.cn.,202.120.2.26,2001:da8:8000:1:0:504:2:48
108,view.sjtu.edu.cn.,202.120.35.173,2001:da8:8000:1:0:1369:2:48
109,map.sjtu.edu.cn.,202.120.35.191,2001:da8:8000:6fc0:102:1042:2:48
110,gk.sjtu.edu.cn.,202.120.63.151,2001:da8:8000:1:0:1334:2:48
111,cert.sjtu.edu.cn.,202.120.35.187,2001:da8:8000:1:0:830:2:48
112,xray.sjtu.edu.cn.,202.120.35.173,2001:da8:8000:1:0:1581:2:48
113,ev.sjtu.edu.cn.,111.186.58.33,2001:da8:8000:1:0:362:2:48
114,dashboard.sjtu.edu.cn.,202.120.35.163,2001:da8:8000:6181::13
115,mba.sjtu.edu.cn.,202.120.35.201,2001:da8:8000:6fc0:102:1023:2:48
116,ssc.sjtu.edu.cn.,202.120.35.191,2001:da8:8000:1:0:873:2:48
117,api.sjtu.edu.cn.,202.120.35.146,2001:da8:8000:6181::12
118,energy.sjtu.edu.cn.,202.120.2.1,2001:da8:8000:1:0:483:2:48
119,jd.sjtu.edu.cn.,202.120.35.173,2001:da8:8000:1:0:657:2:48
120,pass.sjtu.edu.cn.,202.120.35.195,2001:da8:8000:1:0:906:2:48
121,src.sjtu.edu.cn.,202.120.35.175,2001:da8:8000:1:0:794:2:48
122,crypto.sjtu.edu.cn.,202.120.38.46,2001:da8:8000:1:0:1178:2:48
123,train.sjtu.edu.cn.,111.186.58.113,2001:da8:8000:1:0:328:2:48
124,taiwan.sjtu.edu.cn.,202.120.35.173,2001:da8:8000:1:0:660:2:48
125,ai.sjtu.edu.cn.,111.186.56.190,2001:da8:8000:1:0:224:2:48
126,ly.sjtu.edu.cn.,111.186.58.199,2001:da8:8000:1:0:352:2:48
127,life.sjtu.edu.cn.,111.186.58.4,2001:da8:8000:1:0:369:2:48
128,global.sjtu.edu.cn.,111.186.56.251,2001:da8:8000:1:0:237:2:48
129,sp.sjtu.edu.cn.,202.120.63.153,2001:da8:8000:1:0:1496:2:48
130,urban.sjtu.edu.cn.,202.120.63.153,2001:da8:8000:1:0:1456:2:48
131,museum.sjtu.edu.cn.,202.120.35.187,2001:da8:8000:6fc0:102:1238:2:48
132,notes.sjtu.edu.cn.,202.120.35.233,2001:da8:8000:6fc0:102:1044:2:48
133,ahc.sjtu.edu.cn.,202.120.63.153,2001:da8:8000:1:0:1551:2:48
134,sac.sjtu.edu.cn.,111.186.56.233,2001:da8:8000:1:0:231:2:48
135,cal.sjtu.edu.cn.,111.186.59.126,2001:da8:8000:1:0:396:2:48
136,calendar.sjtu.edu.cn.,202.120.35.186,2001:da8:8000:6fc0:102:1008:2:48
137,media2.sjtu.edu.cn.,202.120.58.243,2001:da8:8000:6007::243
138,mr.sjtu.edu.cn.,202.120.43.105,2001:da8:8000:1:0:1217:2:48
139,design.sjtu.edu.cn.,202.120.35.199,2001:da8:8000:1:0:1009:2:48
140,jc.sjtu.edu.cn.,202.120.35.191,2001:da8:8000:1:0:878:2:48
141,qd.sjtu.edu.cn.,202.120.35.195,2001:da8:8000:1:0:902:2:48
142,hospital.sjtu.edu.cn.,111.186.57.102,2001:da8:8000:1:0:271:2:48
143,ip.sjtu.edu.cn.,111.186.57.245,2001:da8:8000:1:0:300:2:48
144,bioinformatics.sjtu.edu.cn.,202.120.45.100,2001:da8:8000:1:0:1227:2:48
145,ice.sjtu.edu.cn.,202.120.59.222,2001:da8:8000:1:0:1297:2:48
146,expert.sjtu.edu.cn.,111.186.56.211,2001:da8:8000:1:0:227:2:48
147,my.sjtu.edu.cn.,202.120.35.157,2001:da8:8000:6181::11
148,abc.sjtu.edu.cn.,202.120.35.199,2001:da8:8000:1:0:977:2:48
149,pss.sjtu.edu.cn.,202.120.45.186,2001:da8:8000:1:0:1245:2:48
150,multimedia.sjtu.edu.cn.,202.120.39.138,2001:da8:8000:1:0:1191:2:48
151,order.sjtu.edu.cn.,202.120.35.199,2001:da8:8000:1:0:944:2:48
152,ky.sjtu.edu.cn.,111.186.59.114,2001:da8:8000:1:0:390:2:48
153,yi.sjtu.edu.cn.,202.120.35.199,2001:da8:8000:1:0:1026:2:48
154,english.sjtu.edu.cn.,202.120.61.82,2001:da8:8000:1:0:1319:2:48
155,law.sjtu.edu.cn.,202.120.35.199,2001:da8:8000:1:0:1007:2:48
156,air.sjtu.edu.cn.,111.186.59.25,2001:da8:8000:1:0:430:2:48
157,form.sjtu.edu.cn.,202.120.35.163,2001:da8:8000:6181::13
158,ie.sjtu.edu.cn.,202.120.37.200,2001:da8:8000:1:0:1149:2:48
159,sla.sjtu.edu.cn.,202.120.61.80,2001:da8:8000:1:0:1323:2:48
160,foundation.sjtu.edu.cn.,202.120.35.173,2001:da8:8000:1:0:721:2:48
161,or.sjtu.edu.cn.,202.120.63.151,2001:da8:8000:1:0:1387:2:48
162,vod.sjtu.edu.cn.,202.120.35.186,2001:da8:8000:1:0:803:2:48
163,courses.sjtu.edu.cn.,202.120.35.187,2001:da8:8000:6fc0:102:1032:2:48
164,ic.sjtu.edu.cn.,202.120.46.1,2001:da8:8000:1:0:1248:2:48
165,welcome.sjtu.edu.cn.,202.120.35.243,2001:da8:8000:6fc0:102:1013:2:48
166,pmc.sjtu.edu.cn.,202.120.63.153,2001:da8:8000:1:0:1453:2:48
167,dbs.sjtu.edu.cn.,202.120.35.173,2001:da8:8000:1:0:748:2:48
168,media3.sjtu.edu.cn.,202.120.58.244,2001:da8:8000:6007::244
169,alumni.sjtu.edu.cn.,202.120.35.191,2001:da8:8000:1:0:880:2:48
170,yq.sjtu.edu.cn.,202.120.63.153,2001:da8:8000:1:0:1584:2:48
171,media1.sjtu.edu.cn.,202.120.58.242,2001:da8:8000:6007::242
172,entropy.sjtu.edu.cn.,202.120.35.173,2001:da8:8000:1:0:763:2:48
173,mirror.sjtu.edu.cn.,111.186.58.212,2001:da8:8000:7100::322:a
174,acm.sjtu.edu.cn.,202.120.61.16,2001:da8:8000:1:0:1316:2:48
175,sv.sjtu.edu.cn.,202.120.35.241,2001:da8:8000:6fc0:102:1031:2:48
176,em.sjtu.edu.cn.,202.120.50.54,2001:da8:8000:1:0:1274:2:48
177,pia.sjtu.edu.cn.,202.120.44.247,2001:da8:8000:1:0:1222:2:48
178,lion.sjtu.edu.cn.,202.120.38.17,2001:da8:8000:1:0:1164:2:48
179,fe.sjtu.edu.cn.,202.120.35.199,2001:da8:8000:1:0:986:2:48
180,cc.sjtu.edu.cn.,202.120.43.108,2001:da8:8000:1:0:1219:2:48
181,me.sjtu.edu.cn.,202.120.53.125,2001:da8:8000:1:0:1278:2:48
182,nec.sjtu.edu.cn.,202.120.35.201,2001:da8:8000:1:0:1065:2:48
183,ks.sjtu.edu.cn.,202.120.35.195,2001:da8:8000:1:0:891:2:48
184,net.sjtu.edu.cn.,202.120.35.187,2001:da8:8000:6fc0:102:1000:2:48
185,tech.sjtu.edu.cn.,202.120.35.241,2001:da8:8000:1:0:1125:2:48
186,review.sjtu.edu.cn.,202.120.35.187,2001:da8:8000:6fc0:102:1208:2:48
187,astro.sjtu.edu.cn.,111.186.56.42,2001:da8:8000:1:0:243:2:48
188,yin.sjtu.edu.cn.,202.120.35.173,2001:da8:8000:1:0:728:2:48
189,gf.sjtu.edu.cn.,202.120.35.173,2001:da8:8000:1:0:1474:2:48
190,px.sjtu.edu.cn.,202.120.63.153,2001:da8:8000:1:0:1521:2:48
191,scholar.sjtu.edu.cn.,202.121.183.81,2001:da8:8000:1:0:1638:2:48
192,best.sjtu.edu.cn.,202.120.39.138,2001:da8:8000:1:0:1193:2:48
193,feedback.sjtu.edu.cn.,202.120.35.241,2001:da8:8000:1:0:1113:2:48
194,wj.sjtu.edu.cn.,202.120.35.195,2001:da8:8000:6fc0:102:1011:2:48
195,wk.sjtu.edu.cn.,202.120.35.187,2001:da8:8000:6fc0:102:1217:2:48
196,ftp.sjtu.edu.cn.,202.120.58.157,2001:da8:8000:6023::230
197,front.sjtu.edu.cn.,202.120.39.134,2001:da8:8000:1:0:1186:2:48
198,faculty.sjtu.edu.cn.,202.120.35.241,2001:da8:8000:1:0:1130:2:48
199,search.sjtu.edu.cn.,202.120.35.180,2001:da8:8000:1:0:799:2:48
200,ir.sjtu.edu.cn.,202.120.39.225,2001:da8:8000:1:0:1197:2:48
201,audit.sjtu.edu.cn.,202.120.35.191,2001:da8:8000:1:0:1666:2:48
